"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"
"CCT8"	1.821559500269e-70	0.253817210785359	0.285	0.761	4.46263861970902e-66
"TUBB"	0.160492484327917	0.253812630998025	0.618	0.897	1
"ECI1"	5.31446900400924e-108	0.253679566124516	0.202	0.678	1.30199176129222e-103
"EIF4B"	9.820188292746e-21	0.253130131094945	0.463	0.971	2.40584792983984e-16
"CAMLG"	1.41334426537723e-111	0.252964209779387	0.257	0.82	3.46255211574767e-107
"FAM211A"	1.94706621324846e-89	0.252255114858116	0.146	0.514	4.7701175158374e-85
"B2M"	1.16856226707119e-24	0.252057077583995	0.952	1	2.86286069809772e-20
"RAC2"	3.22118021491506e-92	0.251954961815009	0.175	0.585	7.89156940852041e-88
"PPCS"	5.28850338738677e-102	0.251431890912968	0.278	0.846	1.29563044487588e-97
"SNHG8"	1.41576068781447e-80	0.251318593207697	0.31	0.854	3.46847210907667e-76
"PTEN"	2.09013716108279e-119	0.251140390091773	0.177	0.652	5.12062703093672e-115
"GNG11"	5.34167056897746e-58	0.251000260297967	0.199	0.532	1.30865587269379e-53
"ALOX5AP"	8.4346824158643e-11	0.250258563853477	0.056	0.12	2.06641284506259e-06
"BUD31"	1.08286316293269e-80	0.249548988398246	0.289	0.807	2.6529064628688e-76
"PFDN1"	6.08216331013575e-107	0.249508679029177	0.265	0.82	1.49006918935016e-102
"COX7A2L"	5.94523509487707e-67	0.249120100335271	0.335	0.882	1.45652314589393e-62
"MDH1"	6.24031579058217e-100	0.248073080110908	0.235	0.73	1.52881496553473e-95
"FAU"	3.46533788657765e-37	0.248056866877335	0.921	0.997	8.48973128832659e-33
"PPP1R14A"	9.44197193523409e-26	0.246973090674885	0.068	0.192	2.313188704413e-21
"CRABP2"	4.03169118838269e-64	0.246570377949051	0.205	0.568	9.87724024241875e-60
"RABAC1"	3.53268040026068e-81	0.246286834107345	0.27	0.761	8.65471371259864e-77
"EIF2S2"	8.43942631335026e-13	0.245860159811352	0.484	0.946	2.06757505250768e-08
"COPS6"	1.73607854468143e-64	0.245656987499482	0.296	0.761	4.25321882661504e-60
"NDUFA2"	6.31847736789059e-30	0.245550140919292	0.423	0.948	1.54796377035952e-25
"EIF3G"	4.96858814534812e-79	0.245164726967157	0.29	0.811	1.21725440972884e-74
"MYL12A"	5.76861756293974e-16	0.244692392748946	0.476	0.961	1.41325361674461e-11
"NDUFB5"	5.5217399980196e-99	0.244068483611886	0.249	0.766	1.35277108211482e-94
"PCNP"	5.05874946945986e-128	0.244033318418999	0.26	0.861	1.23934303252297e-123
"AKR1A1"	8.17509413581376e-79	0.243796866004666	0.229	0.662	2.00281631233301e-74
"SH3GLB1"	2.57810635567068e-109	0.243723215560327	0.245	0.782	6.31610276075761e-105
"ARL2"	8.44415735595378e-114	0.243352739702892	0.218	0.729	2.06873411063512e-109
"MRPL55"	9.98845521020504e-111	0.243194207691651	0.243	0.784	2.44707164194813e-106
"ATP5E"	2.91944362192649e-13	0.243072265889374	0.79	0.998	7.15234492935771e-09
"EMC2"	2.50068736385603e-131	0.242872166696978	0.177	0.677	6.12643397271088e-127
"BST2"	0.000314880643713817	0.241865169449913	0.546	0.939	1
"NUDC"	9.72509977140321e-81	0.2418545277748	0.243	0.696	2.38255219299607e-76
"CFH"	3.92354365146568e-105	0.241825874000158	0.169	0.597	9.61228959172577e-101
"GDI2"	6.24381593388398e-131	0.241467271100189	0.205	0.739	1.52967246564224e-126
"SSR3"	0.702213130229789	0.241466821787878	0.614	0.944	1
"TUBB2B"	5.69958882802521e-48	0.241117345305682	0.098	0.312	1.3963422669779e-43
"TSPAN17"	7.59060478386031e-130	0.240998921279789	0.139	0.592	1.85962226599794e-125
"POMP"	1.16669597925315e-36	0.240922738675896	0.41	0.939	2.85828847957229e-32
"HLA-DPA1"	5.43361676860788e-95	0.239778213229847	0.152	0.542	1.33118177214125e-90
"RPS3"	2.56391824347138e-49	0.239602843783271	0.98	0.998	6.28134330468053e-45
"NEDD8"	0.000162351611094307	0.239549069225267	0.521	0.952	1
"GGCT"	4.5796845126644e-19	0.239364673394107	0.428	0.827	1.12197690875765e-14
"EIF4EBP1"	7.84049421685189e-76	0.237968623326526	0.202	0.594	1.92084267818654e-71
"MRPS33"	5.65515407639317e-90	0.23790854289005	0.29	0.831	1.38545619717556e-85
"STEAP1"	2.07530620187062e-100	0.237715568779127	0.12	0.486	5.08429266396284e-96
"RAB13"	8.767952051504e-109	0.237567240451208	0.196	0.659	2.14806057309796e-104
"DYNLRB1"	1.49965955485767e-87	0.237272744979927	0.321	0.909	3.6740159434458e-83
"ATF4"	1.50070061209799e-130	0.237077296431193	0.237	0.816	3.67656642957886e-126
"ITM2C"	1.24939318044538e-120	0.236838471409723	0.183	0.664	3.06088835277314e-116
"NHP2L1"	1.53050019407036e-54	0.236534273828472	0.357	0.893	3.74957242545298e-50
